PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
Joginder Sharma,2004-2007,4,3,2,35,29*,35.00,30,116.66,0,0,0,5,0
SB Joshi,1996-2001,69,45,11,584,61*,17.17,653,89.43,0,1,4,47,17
M Kaif,2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8,228,9
AV Kale,2003-2003,1,1,0,10,10,10.00,22,45.45,0,0,0,1,0
VG Kambli,1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4,187,20
HH Kanitkar,1997-2000,34,27,8,339,57,17.84,512,66.21,0,1,2,25,1
N Kapil Dev,1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13,291+,67+
AR Kapoor,1995-2000,17,6,0,43,19,7.16,63,68.25,0,0,3,2,1
SS Karim,1997-2000,34,27,4,362,55,15.73,560,64.64,0,1,2,27,2
KD Karthik,2004-2019,94,79,21,1752,79,30.20,2392,73.24,0,9,6,176,15
M Kartik,2002-2007,37,14,5,126,32*,14.00,178,70.78,0,0,1,10,1
S Kaul,2018-2018,3,2,0,1,1,0.50,3,33.33,0,0,1,0,0
Z Khan,2000-2012,194,96,31,753,34*,11.58,1041,72.33,0,0,14,65,24
SC Khanna,1979-1984,10,10,2,176,56,22.00,265,66.41,0,2,1,16,2
GK Khoda,1998-1998,2,2,0,115,89,57.50,185,62.16,0,1,0,11,0
AR Khurasiya,1999-2001,12,11,0,149,57,13.54,188,79.25,0,1,1,14,2
SMH Kirmani,1976-1986,49,31,13,373,48*,20.72,616,60.55,0,0,2,24+,0+
V Kohli,2008-2022,262,253,39,12344,183,57.68,13296,92.83,43,64,15,1159,125
P Krishnamurthy,1976-1976,1,1,0,6,6,6.00,13,46.15,0,0,0,-,-
Kuldeep Yadav,2017-2022,72,24,13,125,19,11.36,199,62.81,0,0,2,10,0
DS Kulkarni,2014-2016,12,2,2,27,25*,-,28,96.42,0,0,0,2,1
NM Kulkarni,1997-1998,10,5,3,11,5*,5.50,20,55.00,0,0,1,0,0
RR Kulkarni,1983-1987,10,5,3,33,15,16.50,39,84.61,0,0,0,3,0
B Kumar,2012-2022,121,55,16,552,53*,14.15,747,73.89,0,1,8,46,8
P Kumar,2007-2012,68,33,12,292,54*,13.90,331,88.21,0,1,2,25,7
T Kumaran,1999-2000,8,3,0,19,8,6.33,27,70.37,0,0,0,2,0
A Kumble,1990-2007,269,134,47,903,26,10.37,1481,60.97,0,0,18,52,6
A Kuruvilla,1997-1997,25,11,4,26,7,3.71,43,60.46,0,0,1,1,1
R Lamba,1986-1989,32,31,2,783,102,27.00,1166,67.15,1,6,2,63+,9+
VVS Laxman,1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3,222,4
S Madan Lal,1974-1987,67,35,14,401,53*,19.09,645,62.17,0,1,1,25+,3+
AO Malhotra,1982-1986,20,19,4,457,65,30.46,645,70.85,0,1,0,29+,1+
Maninder Singh,1983-1993,59,18,14,49,8*,12.25,90,54.44,0,0,1,1,0
SV Manjrekar,1988-1996,74,70,10,1994,105,33.23,3101,64.30,1,15,3,99,10
AV Mankad,1974-1974,1,1,0,44,44,44.00,61,72.13,0,0,0,3,0
JJ Martin,1999-2001,10,8,1,158,39,22.57,331,47.73,0,0,1,15,0
PL Mhambrey,1996-1998,3,1,1,7,7*,-,5,140.00,0,0,0,1,0
A Mishra,2003-2016,36,11,3,43,14,5.37,82,52.43,0,0,2,4,0
A Mithun,2010-2011,5,3,0,51,24,17.00,55,92.72,0,0,0,2,4
Mohammed Shami,2013-2022,82,39,17,184,25,8.36,222,82.88,0,0,5,14,8
Mohammed Siraj,2019-2022,13,4,2,9,4,4.50,14,64.28,0,0,0,1,0
DS Mohanty,1997-2001,45,11,6,28,18*,5.60,57,49.12,0,0,3,1,0
D Mongia,2001-2007,57,51,7,1230,159*,27.95,1721,71.47,1,4,4,122,8
NR Mongia,1994-2000,140,96,33,1272,69,20.19,1845,68.94,0,2,4,95,8
KS More,1984-1993,94,65,22,563,42*,13.09,808,69.67,0,0,5,43+,4+
SP Mukherjee,1990-1991,3,1,1,2,2*,-,2,100.00,0,0,0,0,0
SS Naik,1974-1974,2,2,0,38,20,19.00,68,55.88,0,0,0,3,0
KK Nair,2016-2016,2,2,0,46,39,23.00,88,52.27,0,0,0,6,0
T Natarajan,2020-2021,2,1,1,0,0*,-,0,-,0,0,0,0,0
SV Nayak,1981-1982,4,1,0,3,3,3.00,19,15.78,0,0,0,0,0
AM Nayar,2009-2009,3,1,1,0,0*,-,7,0.00,0,0,0,0,0
A Nehra,2001-2011,117,45,21,140,24,5.83,244,57.37,0,0,9,12,3
NV Ojha,2010-2010,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0
PP Ojha,2008-2012,18,10,8,46,16*,23.00,112,41.07,0,0,0,3,0
GK Pandey,1999-1999,2,2,1,4,4*,4.00,11,36.36,0,0,1,0,0
MK Pandey,2015-2021,29,24,7,566,104*,33.29,625,90.56,1,2,2,45,5
CS Pandit,1986-1992,36,23,9,290,33*,20.71,400,72.50,0,0,2,16+,0+
HH Pandya,2016-2022,66,48,7,1386,92*,33.80,1199,115.59,0,8,4,105,54
KH Pandya,2021-2021,5,4,2,130,58*,65.00,128,101.56,0,1,0,11,2
Pankaj Singh,2010-2010,1,1,1,3,3*,-,3,100.00,0,0,0,0,0
RR Pant,2018-2022,27,24,1,840,125*,36.52,772,108.80,1,5,3,86,26
JV Paranjpe,1998-1998,4,4,1,54,27,18.00,91,59.34,0,0,0,3,1
GAHM Parkar,1982-1984,10,10,1,165,42,18.33,332,49.69,0,0,0,11+,0+
Parvez Rasool,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
AK Patel,1984-1985,8,2,0,6,6,3.00,11,54.54,0,0,1,0,0
AR Patel,2014-2022,44,24,8,273,64*,17.06,257,106.22,0,1,3,13,14
BP Patel,1974-1979,10,9,1,243,82,30.37,399,60.90,0,1,0,22+,3+
MM Patel,2006-2011,70,27,16,74,15,6.72,112,66.07,0,0,4,7,1
PA Patel,2003-2012,38,34,3,736,95,23.74,962,76.50,0,4,2,79,7
RGM Patel,1988-1988,1,-,-,-,-,-,-,-,-,-,-,-,-
IK Pathan,2004-2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7,142,37
YK Pathan,2008-2012,57,41,11,810,123*,27.00,713,113.60,2,3,7,62,43
SM Patil,1980-1986,45,42,1,1005,84,24.51,1223,82.17,0,9,4,74+,12+
RR Powar,2004-2007,31,19,5,163,54,11.64,260,62.69,0,1,0,12,2
M Prabhakar,1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8,157+,0+
BKV Prasad,1994-2001,161,63,31,221,19,6.90,367,60.21,0,0,8,7,5
MSK Prasad,1998-1999,17,11,2,131,63,14.55,225,58.22,0,1,2,11,0
M Prasidh Krishna,2021-2022,14,5,3,2,2*,1.00,12,16.66,0,0,2,0,0
CA Pujara,2013-2014,5,5,0,51,27,10.20,130,39.23,0,0,2,4,0
AM Rahane,2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6,293,33
KL Rahul,2016-2022,45,43,6,1665,112,45.00,1895,87.86,5,10,2,125,39
SK Raina,2005-2018,226,194,35,5615,116*,35.31,6005,93.50,5,36,14,476,120
LS Rajput,1985-1987,4,4,1,9,8,3.00,31,29.03,0,0,2,0,0
SLV Raju,1990-1996,53,16,8,32,8,4.00,67,47.76,0,0,4,1,0
WV Raman,1988-1996,27,27,1,617,114,23.73,1109,55.63,1,3,6,47,5
S Ramesh,1999-1999,24,24,1,646,82,28.08,1092,59.15,0,6,3,70,1
N Rana,2021-2021,1,1,0,7,7,7.00,14,50.00,0,0,0,0,0
Randhir Singh,1981-1983,2,-,-,-,-,-,-,-,-,-,-,-,-
V Rathour,1996-1997,7,7,0,193,54,27.57,331,58.30,0,2,0,16,1
A Ratra,2002-2002,12,8,1,90,30,12.85,127,70.86,0,0,0,8,0
SS Raul,1998-1998,2,2,0,8,8,4.00,14,57.14,0,0,1,0,0
Ravi Bishnoi,2022-2022,1,1,1,4,4*,-,2,200.00,0,0,0,1,0
AT Rayudu,2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,145,30
V Razdan,1989-1990,3,3,1,23,18,11.50,27,85.18,0,0,0,3,0
B Reddy,1978-1981,3,2,2,11,8*,-,20,55.00,0,0,0,1,0
WP Saha,2010-2014,9,5,2,41,16,13.66,56,73.21,0,0,0,5,0
Shahbaz Ahmed,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-
NA Saini,2019-2021,8,5,3,107,45,53.50,137,78.10,0,0,0,9,3
C Sakariya,2021-2021,1,1,1,0,0*,-,1,0.00,0,0,0,0,0
AM Salvi,2003-2003,4,3,1,4,4*,2.00,14,28.57,0,0,2,0,0
SV Samson,2021-2022,10,9,5,294,86*,73.50,277,106.13,0,2,0,21,15
BS Sandhu,1982-1984,22,7,3,51,16*,12.75,97,52.57,0,0,2,2+,1+
RL Sanghvi,1998-1998,10,2,0,8,8,4.00,11,72.72,0,0,1,0,1
Sarandeep Singh,2002-2003,5,4,1,47,19,15.66,73,64.38,0,0,0,6,0
V Sehwag,1999-2013,241,235,9,7995,219,35.37,7655,104.44,15,37,14,1092,131
TAP Sekhar,1983-1985,4,-,-,-,-,-,-,-,-,-,-,-,-
V Shankar,2019-2019,12,8,1,223,46,31.85,246,90.65,0,0,0,20,4
AK Sharma,1988-1993,31,27,6,424,59*,20.19,469,90.40,0,3,2,26+,9+
C Sharma,1983-1994,65,35,16,456,101*,24.00,504,90.47,1,0,3,31,4
G Sharma,1985-1987,11,2,0,11,7,5.50,24,45.83,0,0,0,0,0
I Sharma,2007-2016,80,28,13,72,13,4.80,203,35.46,0,0,5,6,0
KV Sharma,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-
MM Sharma,2013-2015,26,9,5,31,11,7.75,66,46.96,0,0,1,5,0
PH Sharma,1976-1976,2,2,0,20,14,10.00,39,51.28,0,0,0,-,-
R Sharma,2011-2012,4,1,0,1,1,1.00,2,50.00,0,0,0,0,0
RG Sharma,2007-2022,233,226,33,9376,264,48.58,10513,89.18,29,45,14,856,250
SK Sharma,1988-1990,23,12,4,80,28,10.00,135,59.25,0,0,2,4,0
RJ Shastri,1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5,206+,25+
PP Shaw,2020-2021,6,6,0,189,49,31.50,166,113.85,0,0,0,32,2
Shubman Gill,2019-2022,12,12,2,579,130,57.90,564,102.65,1,3,0,67,7
LR Shukla,1999-1999,3,2,0,18,13,9.00,19,94.73,0,0,0,1,0
NS Sidhu,1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,335,44
RP Singh,1986-1986,2,-,-,-,-,-,-,-,-,-,-,-,-
RP Singh,2005-2011,58,20,10,104,23,10.40,242,42.97,0,0,3,5,1
RR Singh,1989-2001,136,113,23,2336,100,25.95,3144,74.30,1,9,5,135+,41+
VRV Singh,2006-2006,2,1,0,8,8,8.00,13,61.53,0,0,0,1,0
L Sivaramakrishnan,1985-1987,16,4,2,5,2*,2.50,24,20.83,0,0,0,0,0
RS Sodhi,2000-2002,18,14,3,280,67,25.45,381,73.49,0,2,0,16,6
ED Solkar,1974-1976,7,6,0,27,13,4.50,79,34.17,0,0,1,2,0
S Somasunder,1996-1996,2,2,0,16,9,8.00,63,25.39,0,0,0,1,0
BB Sran,2016-2016,6,-,-,-,-,-,-,-,-,-,-,-,-
S Sreesanth,2005-2011,53,21,10,44,10*,4.00,121,36.36,0,0,3,2,0
K Srikkanth,1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11,405+,41+
J Srinath,1991-2003,229,121,38,883,53,10.63,1109,79.62,0,1,19,62,17
TE Srinivasan,1980-1981,2,2,0,10,6,5.00,35,28.57,0,0,0,0,0
S Sriram,2000-2004,8,7,1,81,57,13.50,135,60.00,0,1,1,9,0
R Sudhakar Rao,1976-1976,1,1,0,4,4,4.00,14,28.57,0,0,0,-,0
SR Tendulkar,1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,2016,195
SN Thakur,2017-2022,27,15,6,257,50*,28.55,218,117.88,0,1,1,26,8
MK Tiwary,2008-2015,12,12,1,287,104*,26.09,403,71.21,1,1,0,24,3
SS Tiwary,2010-2010,3,2,2,49,37*,-,56,87.50,0,0,0,5,1
S Tyagi,2009-2010,4,1,1,1,1*,-,2,50.00,0,0,0,0,0
JD Unadkat,2013-2013,7,-,-,-,-,-,-,-,-,-,-,-,-
RV Uthappa,2006-2015,46,42,6,934,86,25.94,1031,90.59,0,6,4,107,19
PS Vaidya,1995-1996,4,2,0,15,12,7.50,12,125.00,0,0,0,2,0
DB Vengsarkar,1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7,228+,24+
S Venkataraghavan,1974-1983,15,9,4,54,26*,10.80,126,42.85,0,0,2,3,0
M Venkataramana,1988-1988,1,1,1,0,0*,-,0,-,0,0,0,0,0
Y Venugopal Rao,2005-2006,16,11,2,218,61*,24.22,363,60.05,0,1,2,16,3
M Vijay,2010-2015,17,16,0,339,72,21.18,506,66.99,0,1,0,33,3
R Vijay Bharadwaj,1999-2002,10,9,4,136,41*,27.20,194,70.10,0,0,1,15,1
R Vinay Kumar,2010-2013,31,13,4,86,27*,9.55,146,58.90,0,0,2,5,2
GR Viswanath,1974-1982,25,23,1,439,75,19.95,830,52.89,0,2,1,33+,0+
S Viswanath,1985-1988,22,12,4,72,23*,9.00,139,51.79,0,0,0,5,0
AL Wadekar,1974-1974,2,2,0,73,67,36.50,90,81.11,0,1,0,11,0
Washington Sundar,2017-2022,6,2,0,57,33,28.50,75,76.00,0,0,0,3,1
AS Wassan,1990-1991,9,6,2,33,16,8.25,56,58.92,0,0,1,2,0
J Yadav,2016-2022,2,2,1,3,2,3.00,7,42.85,0,0,0,0,0
Jai P Yadav,2002-2005,12,7,3,81,69,20.25,123,65.85,0,1,2,11,1
NS Yadav,1986-1987,7,2,2,1,1*,-,16,6.25,0,0,0,0,0
SA Yadav,2021-2022,13,12,2,340,64,34.00,344,98.83,0,2,0,38,3
UT Yadav,2010-2018,75,24,14,79,18*,7.90,134,58.95,0,0,4,8,1
V Yadav,1992-1994,19,12,2,118,34*,11.80,116,101.72,0,0,2,7,2
Yashpal Sharma,1978-1985,42,40,9,883,89,28.48,1401,63.02,0,4,0,52+,10+
B Yograj Singh,1980-1981,6,4,2,1,1,0.50,12,8.33,0,0,1,0,0
T Yohannan,2002-2002,3,2,2,7,5*,-,11,63.63,0,0,0,0,0
Yuvraj Singh,2000-2017,301,275,39,8609,150,36.47,9846,87.43,14,52,18,896,153
