PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
TM Chappell,1980-1983,20,13,0,229,110,17.61,365,62.73,1,0,2,18,0
DT Christian,2012-2021,20,18,5,273,39,21.00,307,88.92,0,0,0,23,3
SR Clark,2005-2009,39,12,7,69,16*,13.80,88,78.40,0,0,1,6,1
WM Clark,1978-1978,2,-,-,-,-,-,-,-,-,-,-,-,-
MJ Clarke,2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10,665,53
DJ Colley,1972-1972,1,-,-,-,-,-,-,-,-,-,-,-,-
AN Connolly,1971-1971,1,-,-,-,-,-,-,-,-,-,-,-,-
MJ Cosgrove,2006-2006,3,3,0,112,74,37.33,116,96.55,0,1,0,12,2
GJ Cosier,1975-1979,9,7,2,154,84,30.80,166,92.77,0,1,1,15,2
NM Coulter-Nile,2013-2019,32,21,6,252,92,16.80,262,96.18,0,1,2,20,6
DJ Cullen,2006-2006,5,1,1,2,2*,-,3,66.66,0,0,0,0,0
PJ Cummins,2011-2022,74,47,15,324,36,10.12,438,73.97,0,0,8,23,5
BCJ Cutting,2013-2014,4,2,0,53,27,26.50,67,79.10,0,0,0,4,1
AC Dale,1997-2000,30,12,8,78,15*,19.50,136,57.35,0,0,1,3,0
WM Darling,1978-1982,18,18,1,363,74,21.35,679,53.46,0,1,0,26,0
IC Davis,1974-1977,3,3,1,12,11*,6.00,35,34.28,0,0,1,0,0
SP Davis,1986-1988,39,11,7,20,6,5.00,34,58.82,0,0,1,0,0
MJ Di Venuto,1997-1997,9,9,0,241,89,26.77,281,85.76,0,2,0,28,0
AIC Dodemaide,1988-1993,24,16,7,124,30,13.77,159,77.98,0,0,1,4,0
XJ Doherty,2010-2015,60,23,16,101,15*,14.42,184,54.89,0,0,2,5,1
BR Dorey,2006-2006,4,1,0,2,2,2.00,8,25.00,0,0,0,0,0
GC Dyer,1986-1988,23,13,2,174,45*,15.81,227,76.65,0,0,1,8,4
G Dymock,1974-1980,15,7,4,35,14*,11.66,82,42.68,0,0,1,1,0
J Dyson,1980-1983,29,27,4,755,79,32.82,1553,48.61,0,4,1,55,2
R Edwards,1972-1975,9,8,1,255,80*,36.42,349,73.06,0,3,1,22,0
WJ Edwards,1975-1975,1,1,0,2,2,2.00,14,14.28,0,0,0,0,0
MTG Elliott,1997-1997,1,1,0,1,1,1.00,6,16.66,0,0,0,0,0
NT Ellis,2022-2022,3,3,2,6,3*,6.00,7,85.71,0,0,0,0,0
PA Emery,1994-1994,1,1,1,11,11*,-,13,84.61,0,0,0,1,0
JP Faulkner,2013-2017,69,52,22,1032,116,34.40,990,104.24,1,4,4,83,29
Fawad Ahmed,2013-2013,3,1,1,4,4*,-,2,200.00,0,0,0,1,0
CJ Ferguson,2009-2011,30,25,9,663,71*,41.43,777,85.32,0,5,0,64,0
AJ Finch,2013-2022,146,142,3,5406,153*,38.89,6162,87.73,17,30,16,532,129
DW Fleming,1994-2001,88,31,18,152,29,11.69,221,68.77,0,0,5,9,1
PJ Forrest,2012-2012,15,14,0,368,104,26.28,561,65.59,1,3,2,34,4
B Geeves,2008-2009,2,2,2,10,10*,-,11,90.90,0,0,0,1,0
DR Gilbert,1986-1986,14,8,3,39,8,7.80,102,38.23,0,0,0,1,0
AC Gilchrist,1996-2008,286,278,11,9595,172,35.93,9902,96.89,16,55,19,1159,148
JN Gillespie,1996-2005,97,39,16,289,44*,12.56,367,78.74,0,0,8,16,6
GJ Gilmour,1974-1975,5,2,1,42,28*,42.00,39,107.69,0,0,0,7,0
SF Graf,1980-1981,11,6,0,24,8,4.00,50,48.00,0,0,1,1,0
C Green,2020-2022,13,11,6,290,89*,58.00,321,90.34,0,1,0,22,8
BJ Haddin,2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2,296,71
JR Hammond,1972-1972,1,1,1,15,15*,-,28,53.57,0,0,0,1,0
PSP Handscomb,2017-2019,22,20,1,632,117,33.26,649,97.38,1,4,2,46,6
RJ Harris,2009-2012,21,13,7,48,21,8.00,48,100.00,0,0,0,3,1
IJ Harvey,1997-2004,73,51,11,715,48*,17.87,811,88.16,0,0,2,65,8
SM Harwood,2009-2009,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0
JW Hastings,2010-2017,29,21,11,271,51,27.10,273,99.26,0,1,1,29,8
NM Hauritz,2002-2011,58,32,17,336,53*,22.40,349,96.27,0,1,0,21,8
ML Hayden,1993-2008,160,154,15,6131,181*,44.10,7762,78.98,10,36,9,636,87
JR Hazlewood,2010-2022,68,23,19,81,23*,20.25,104,77.88,0,0,2,8,1
TM Head,2016-2022,50,47,3,1671,128,37.97,1774,94.19,2,13,2,174,28
IA Healy,1988-1997,168,120,36,1764,56,21.00,2104,83.84,0,4,9,77,5
SD Heazlett,2017-2017,1,1,0,4,4,4.00,11,36.36,0,0,0,0,0
MC Henriques,2009-2021,16,15,2,117,22,9.00,192,60.93,0,0,0,10,0
AMJ Hilditch,1979-1985,8,8,0,226,72,28.25,476,47.47,0,1,0,15,0
BW Hilfenhaus,2007-2012,25,11,8,29,16,9.66,69,42.02,0,0,0,2,0
BJ Hodge,2005-2007,25,21,2,575,123,30.26,657,87.51,1,3,3,51,12
TG Hogan,1983-1984,16,12,4,72,27,9.00,95,75.78,0,0,1,7,2
GB Hogg,1996-2008,123,65,26,790,71*,20.25,1005,78.60,0,2,9,41,5
RM Hogg,1979-1985,71,35,20,137,22,9.13,217,63.13,0,0,2,8,0
RG Holland,1985-1985,2,-,-,-,-,-,-,-,-,-,-,-,-
DW Hookes,1977-1986,39,36,2,826,76,24.29,1146,72.07,0,5,3,73,13
JR Hopes,2005-2010,84,61,8,1326,63*,25.01,1415,93.71,0,3,1,123,6
KJ Hughes,1977-1985,97,88,6,1968,98,24.00,2919,67.42,0,17,12,141,12
MG Hughes,1988-1993,33,17,8,100,20,11.11,134,74.62,0,0,3,6,4
PJ Hughes,2013-2014,25,24,1,826,138*,35.91,1100,75.09,2,4,1,91,5
AG Hurst,1975-1979,8,4,4,7,3*,-,19,36.84,0,0,0,0,0
DJ Hussey,2008-2013,69,61,6,1796,111,32.65,1980,90.70,1,14,4,130,30
MEK Hussey,2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,383,80
JP Inglis,2022-2022,2,2,0,15,10,7.50,26,57.69,0,0,0,2,0
PA Jaques,2006-2007,6,6,0,125,94,20.83,176,71.02,0,1,1,16,1
TJ Jenner,1975-1975,1,1,0,12,12,12.00,25,48.00,0,0,0,1,0
MG Johnson,2005-2015,153,91,32,951,73*,16.11,987,96.35,0,2,6,81,23
DM Jones,1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,380+,64+
BP Julian,1993-1999,25,17,0,224,35,13.17,250,89.60,0,0,4,17,6
MS Kasprowicz,1995-2005,43,13,9,74,28*,18.50,89,83.14,0,0,2,6,1
SM Katich,2001-2006,45,42,5,1324,107*,35.78,1926,68.74,1,9,3,138,4
MF Kent,1981-1981,5,5,1,78,33,19.50,133,58.64,0,0,0,6,0
RB Kerr,1985-1985,4,4,1,97,87*,32.33,159,61.00,0,1,0,5,0
UT Khawaja,2013-2019,40,39,2,1554,104,42.00,1848,84.09,2,12,2,150,13
JJ Krejza,2011-2011,8,2,1,13,7,13.00,23,56.52,0,0,0,0,0
MP Kuhnemann,2022-2022,4,2,0,16,15,8.00,14,114.28,0,0,0,3,0
M Labuschagne,2020-2022,26,25,0,796,108,31.84,947,84.05,1,6,2,49,1
BM Laird,1979-1982,23,23,3,594,117*,29.70,1105,53.75,1,2,0,52,0
JL Langer,1994-1997,8,7,2,160,36,32.00,180,88.88,0,0,0,13,4
B Laughlin,2009-2009,5,1,1,1,1*,-,9,11.11,0,0,0,0,0
TJ Laughlin,1978-1979,6,5,1,105,74,26.25,160,65.62,0,1,0,6,1
SG Law,1994-1999,54,51,5,1237,110,26.89,1643,75.28,1,7,3,72,8
WM Lawry,1971-1971,1,1,0,27,27,27.00,49,55.10,0,0,0,0,0
GF Lawson,1980-1989,79,52,18,378,33*,11.11,500,75.60,0,0,9,19+,4
B Lee,2000-2012,221,110,44,1176,59,17.81,1407,83.58,0,3,16,69,35
S Lee,1995-2001,45,35,8,477,47,17.66,500,95.40,0,0,3,31,7
DS Lehmann,1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,227,14
ML Lewis,2005-2006,7,1,1,4,4*,-,4,100.00,0,0,0,0,0
DK Lillee,1972-1983,63,34,8,240,42*,9.23,320,75.00,0,0,6,17,1
CA Lynn,2017-2018,4,4,0,75,44,18.75,89,84.26,0,0,1,5,3
NM Lyon,2012-2019,29,14,10,77,30,19.25,83,92.77,0,0,1,7,2
RB McCosker,1975-1982,14,14,0,320,95,22.85,623,51.36,0,2,2,14,0
RJ McCurdy,1985-1985,11,6,2,33,13*,8.25,71,46.47,0,0,1,1,0
BR McDermott,2021-2022,5,5,0,223,104,44.60,278,80.21,1,1,1,19,5
CJ McDermott,1985-1996,138,78,17,432,37,7.08,492,87.80,0,0,15,36,8
SCG MacGill,2000-2000,3,2,1,1,1,1.00,3,33.33,0,0,0,0,0
GD McGrath,1993-2007,249,67,38,115,11,3.96,235,48.93,0,0,13,7,0
CJ McKay,2009-2014,59,31,10,190,30,9.04,337,56.37,0,0,3,15,2
GD McKenzie,1971-1971,1,-,-,-,-,-,-,-,-,-,-,-,-
JA Maclean,1979-1979,2,1,0,11,11,11.00,33,33.33,0,0,0,2,0
KH MacLeay,1983-1987,16,13,2,139,41,12.63,170,81.76,0,0,0,7,3
JN Maguire,1983-1984,23,11,5,42,14*,7.00,71,59.15,0,0,1,1,0
JP Maher,1998-2003,26,20,3,438,95,25.76,673,65.08,0,1,1,40,7
AA Mallett,1971-1975,9,3,1,14,8,7.00,36,38.88,0,0,1,1,0
MF Malone,1977-1982,10,7,3,36,15*,9.00,63,57.14,0,0,0,5,0
GA Manou,2009-2009,4,1,0,7,7,7.00,6,116.66,0,0,0,0,0
GR Marsh,1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,302,22
MR Marsh,2011-2022,68,64,9,1784,102*,32.43,2009,88.80,1,13,4,148,44
RW Marsh,1971-1984,92,76,15,1225,66,20.08,1489,82.26,0,4,7,86,17
SE Marsh,2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,247,36
DR Martyn,1992-2006,208,182,51,5346,144*,40.80,6877,77.73,5,37,10,441,22
RAL Massie,1972-1972,3,1,1,16,16*,-,24,66.66,0,0,0,2,0
GRJ Matthews,1984-1993,59,50,13,619,54,16.72,911,67.94,0,1,5,23,3
GJ Maxwell,2012-2022,127,116,14,3482,108,34.13,2786,124.98,2,23,9,332,128
TBA May,1987-1995,47,12,8,39,15,9.75,52,75.00,0,0,0,1,0
JM Mennie,2016-2016,2,2,0,1,1,0.50,4,25.00,0,0,1,0,0
RP Meredith,2021-2021,1,1,1,0,0*,-,0,-,0,0,0,0,0
TM Moody,1987-1999,76,64,12,1211,89,23.28,1747,69.31,0,10,6,74,18
JK Moss,1979-1979,1,1,0,7,7,7.00,16,43.75,0,0,0,0,0
DP Nannes,2009-2009,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
MG Neser,2018-2018,2,2,0,8,6,4.00,16,50.00,0,0,0,0,0
AA Noffke,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
MJ North,2009-2009,2,2,0,6,5,3.00,19,31.57,0,0,0,0,0
SP O'Donnell,1985-1991,87,64,15,1242,74*,25.34,1534,80.96,0,9,5,72+,28+
KJ O'Keeffe,1977-1977,2,2,1,16,16*,16.00,38,42.10,0,0,1,1,0
TD Paine,2009-2018,35,35,3,890,111,27.81,1257,70.80,1,5,1,96,6
JS Paris,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-
LS Pascoe,1977-1982,29,11,7,39,15*,9.75,102,38.23,0,0,2,2,0
JL Pattinson,2011-2015,15,8,4,42,13,10.50,80,52.50,0,0,0,2,0
JR Philippe,2021-2021,3,3,0,65,39,21.66,89,73.03,0,0,0,8,2
WB Phillips,1982-1986,48,41,6,852,75*,24.34,994,85.71,0,6,1,76+,5+
RT Ponting,1995-2012,374,364,39,13589,164,41.81,16944,80.19,29,82,20,1223,159
GD Porter,1979-1979,2,1,0,3,3,3.00,9,33.33,0,0,0,0,0
CG Rackemann,1983-1991,52,18,6,34,9*,2.83,77,44.15,0,0,6,0,0
IR Redpath,1971-1975,5,5,0,46,24,9.20,67,68.65,0,0,1,1,0
BA Reid,1986-1992,61,21,8,49,10,3.76,117,41.88,0,0,1,2,0
PR Reiffel,1992-1999,92,57,21,503,58,13.97,709,70.94,0,1,5,26,1
JA Richardson,2018-2022,15,9,4,93,29,18.60,107,86.91,0,0,0,7,0
KW Richardson,2013-2020,25,12,7,75,24*,15.00,68,110.29,0,0,2,7,4
GM Ritchie,1982-1987,44,42,7,959,84,27.40,1479,64.84,0,6,2,55,6
SJ Rixon,1978-1985,6,6,3,40,20*,13.33,98,40.81,0,0,1,1,0
GR Robertson,1994-1998,13,7,4,45,15,15.00,55,81.81,0,0,0,2,0
RD Robinson,1977-1977,2,2,0,82,70,41.00,143,57.34,0,1,0,7,1
L Ronchi,2008-2008,4,2,0,76,64,38.00,37,205.40,0,1,0,6,6
GS Sandhu,2015-2015,2,-,-,-,-,-,-,-,-,-,-,-,-
CS Serjeant,1977-1978,3,3,0,73,46,24.33,158,46.20,0,0,0,7,1
AP Sheahan,1972-1972,3,3,0,75,50,25.00,124,60.48,0,1,0,6,1
DJM Short,2018-2020,8,8,1,211,69,30.14,269,78.43,0,1,1,16,1
PM Siddle,2009-2019,20,6,3,31,10*,10.33,30,103.33,0,0,1,2,0
JD Siddons,1988-1988,1,1,0,32,32,32.00,37,86.48,0,0,0,3,0
RB Simpson,1978-1978,2,2,0,36,23,18.00,53,67.92,0,0,0,3,1
MJ Slater,1993-1997,42,42,1,987,73,24.07,1634,60.40,0,9,3,95,2
SB Smith,1983-1985,28,24,2,861,117,39.13,1319,65.27,2,8,1,67+,0+
SPD Smith,2010-2022,138,123,15,4896,164,45.33,5594,87.52,12,29,5,429,47
KR Stackpole,1971-1974,6,6,0,224,61,37.33,387,57.88,0,3,0,28,0
B Stanlake,2017-2019,7,5,2,4,2,1.33,28,14.28,0,0,1,0,0
MA Starc,2010-2022,107,60,22,469,52*,12.34,545,86.05,0,1,10,34,12
MP Stoinis,2015-2022,56,51,7,1284,146*,29.18,1384,92.77,1,6,5,109,44
AM Stuart,1997-1997,3,1,0,1,1,1.00,7,14.28,0,0,0,0,0
MJ Swepson,2022-2022,3,1,0,2,2,2.00,2,100.00,0,0,0,0,0
A Symonds,1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103
SW Tait,2007-2011,35,7,5,25,11,12.50,29,86.20,0,0,1,3,1
MA Taylor,1989-1997,113,110,1,3514,105,32.23,5908,59.47,1,28,4,273,7
PL Taylor,1987-1992,83,47,25,437,54*,19.86,583,74.95,0,1,4,23,0
AL Thomson,1971-1971,1,-,-,-,-,-,-,-,-,-,-,-,-
JR Thomson,1975-1985,50,30,6,181,21,7.54,280,64.64,0,0,5,9,2
PM Toohey,1978-1979,5,4,2,105,54*,52.50,133,78.94,0,1,0,5,0
CP Tremain,2016-2016,4,3,2,23,23*,23.00,37,62.16,0,0,1,2,1
GS Trimble,1986-1986,2,2,1,4,4,4.00,5,80.00,0,0,0,1,0
A Turner,1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0,25,1
AJ Turner,2019-2021,9,7,1,192,84*,32.00,160,120.00,0,1,0,10,10
AJ Tye,2018-2018,7,7,3,57,19,14.25,48,118.75,0,0,0,5,2
MRJ Veletta,1987-1989,20,19,4,484,68*,32.26,642,75.38,0,2,2,29,0
AC Voges,2007-2013,31,28,9,870,112*,45.78,998,87.17,1,4,0,61,10
MS Wade,2012-2021,97,83,12,1867,100*,26.29,2288,81.59,1,11,5,129,34
MHN Walker,1974-1981,17,11,3,79,20,9.87,170,46.47,0,0,1,6,0
KD Walters,1971-1981,28,24,6,513,59,28.50,732,70.08,0,2,1,37,0
SK Warne,1993-2003,193,106,28,1016,55,13.02,1411,72.00,0,1,10,60,13
DA Warner,2009-2022,140,138,6,5901,179,44.70,6204,95.11,18,27,3,630,90
GD Watson,1972-1972,2,2,1,11,11*,11.00,16,68.75,0,0,1,2,0
SR Watson,2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,570,131
ME Waugh,1988-2002,244,236,20,8500,173,39.35,11053,76.90,18,50,16,651,57
SR Waugh,1986-2002,325,288,58,7569,120*,32.90,9971,75.91,3,45,15,530,68
DM Wellham,1981-1987,17,17,2,379,97,25.26,699,54.22,0,1,0,16,0
KC Wessels,1983-1985,54,51,3,1740,107,36.25,2945,59.08,1,14,0,139,2
DF Whatmore,1980-1980,1,1,0,2,2,2.00,6,33.33,0,0,0,0,0
CL White,2005-2018,91,77,16,2072,105,33.96,2586,80.12,2,11,4,145,45
MR Whitney,1983-1993,38,13,7,40,9*,6.66,90,44.44,0,0,1,2,0
JM Wiener,1979-1980,7,7,0,140,50,20.00,324,43.20,0,1,0,12,0
BA Williams,2002-2004,25,6,4,27,13*,13.50,46,58.69,0,0,2,2,0
P Wilson,1997-1998,11,5,2,4,2,1.33,13,30.76,0,0,2,0,0
GM Wood,1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4,172+,4+
AJ Woodcock,1974-1974,1,1,0,53,53,53.00,67,79.10,0,1,0,5,1
RD Woolley,1983-1983,4,3,2,31,16,31.00,38,81.57,0,0,0,2,0
DJ Worrall,2016-2016,3,1,1,6,6*,-,4,150.00,0,0,0,1,0
KJ Wright,1979-1979,5,2,0,29,23,14.50,52,55.76,0,0,0,0,0
GN Yallop,1978-1984,30,27,6,823,66*,39.19,1288,63.89,0,7,1,64,3
B Yardley,1978-1983,7,4,0,58,28,14.50,98,59.18,0,0,1,1,0
BE Young,1998-1999,6,3,1,31,18,15.50,47,65.95,0,0,0,2,0
A Zampa,2016-2022,75,35,13,206,36,9.36,332,62.04,0,0,3,17,1
AK Zesers,1987-1987,2,2,2,10,8*,-,14,71.42,0,0,0,1,0
TJ Zoehrer,1986-1994,22,15,3,130,50,10.83,183,71.03,0,1,2,9,0
